service_id	date	exception_type
service_2024-07-29	2024-07-29	1
service_2024-07-30	2024-07-30	1
service_2024-07-31	2024-07-31	1
service_2024-08-01	2024-08-01	1
service_2024-08-02	2024-08-02	1
service_2024-08-03	2024-08-03	1
service_2024-08-04	2024-08-04	1
service_2024-08-05	2024-08-05	1
service_2024-08-06	2024-08-06	1
service_2024-08-07	2024-08-07	1
service_2024-08-08	2024-08-08	1
service_2024-08-09	2024-08-09	1
service_2024-08-10	2024-08-10	1
service_2024-08-11	2024-08-11	1
service_2024-08-12	2024-08-12	1
service_2024-08-13	2024-08-13	1
service_2024-08-14	2024-08-14	1
service_2024-08-15	2024-08-15	1
service_2024-08-16	2024-08-16	1
service_2024-08-17	2024-08-17	1
service_2024-08-18	2024-08-18	1
service_2024-08-19	2024-08-19	1
service_2024-08-20	2024-08-20	1
service_2024-08-21	2024-08-21	1
service_2024-08-22	2024-08-22	1
service_2024-08-23	2024-08-23	1
service_2024-08-24	2024-08-24	1
service_2024-08-25	2024-08-25	1
service_2024-08-26	2024-08-26	1
service_2024-08-27	2024-08-27	1
service_2024-08-28	2024-08-28	1
service_2024-08-29	2024-08-29	1
service_2024-08-30	2024-08-30	1
service_2024-08-31	2024-08-31	1
service_2024-09-01	2024-09-01	1
service_2024-09-02	2024-09-02	1
service_2024-09-03	2024-09-03	1
service_2024-09-04	2024-09-04	1
service_2024-09-05	2024-09-05	1
service_2024-09-06	2024-09-06	1
service_2024-09-07	2024-09-07	1
service_2024-09-08	2024-09-08	1
service_2024-09-09	2024-09-09	1
service_2024-09-10	2024-09-10	1
service_2024-09-11	2024-09-11	1
service_2024-09-12	2024-09-12	1
service_2024-09-13	2024-09-13	1
service_2024-09-14	2024-09-14	1
service_2024-09-15	2024-09-15	1
service_2024-09-16	2024-09-16	1
service_2024-09-17	2024-09-17	1
service_2024-09-18	2024-09-18	1
service_2024-09-19	2024-09-19	1
service_2024-09-20	2024-09-20	1
service_2024-09-21	2024-09-21	1
