Calibration,NCM Type,PICP,MPIW (s),Cal. Error,Winkler
Static,Absolute,0.8744769874476988,3962,0.025523012552301272,6449
Online Exp.,Absolute,0.8901405428602082,4207,0.00985945713979186,6411
Online Slide-7d,Absolute,0.8963630511747667,4302,0.003636948825233355,6423
Online Slide-14d,Absolute,0.8932517970174874,4259,0.006748202982512663,6415
Static,Mondrian,0.8701856024031757,4131,0.02981439759682436,6200
Online Exp.,Mondrian,0.8891749812251905,4251,0.01082501877480957,6164
Online Slide-7d,Mondrian,0.8977577513142366,4365,0.0022422486857633928,6168
Online Slide-14d,Mondrian,0.8903551121124342,4280,0.00964488788756579,6178
Static,Normalized DE,0.8587061474090762,3993,0.041293852590923774,5707
Online Exp.,Normalized DE,0.8638558094625041,3960,0.03614419053749596,5632
Online Slide-7d,Normalized DE,0.8661087866108786,4025,0.03389121338912138,5664
Online Slide-14d,Normalized DE,0.8675034867503487,3960,0.032496513249651304,5602
Static,Mondrian + DE,0.8557021778779101,4123,0.04429782212208988,5827
Online Exp.,Mondrian + DE,0.8638558094625041,3930,0.03614419053749596,5551
Online Slide-7d,Mondrian + DE,0.8713657332904194,4185,0.02863426670958058,5752
Online Slide-14d,Mondrian + DE,0.8695418946464971,4006,0.030458105353502907,5591
